code,name
A241560,두산밥캣보통주
A084690,대상홀딩스 보통주
A072710,농심홀딩스보통주
A003550,LG보통주
A096770,SK이노베이션 보통주
A105560,KB금융지주 보통주
A024660,하림홀딩스
A019570,제미니투자
A277070,린드먼아시아인베스트먼트
A021060,한림창업투자
A023460,씨앤에이치
A021080,에이티넘인베스트먼트
A025340,그린기술투자
A246690,티에스인베스트먼트
A241520,디에스씨인베스트먼트
A026540,제일창업투자
A019550,에스비아이인베스트먼트
A019430,넥서스투자
A027830,대성창업투자
A034510,무한투자
A007330,푸른상호저축은행
A031920,신민상호저축은행
A000030,우리은행보통주
A192530,광주은행보통주
A007200,진흥저축은행보통주
A007800,솔로몬저축은행보통주
A006220,제주은행보통주
A024110,중소기업은행보통주
A016560,서울상호저축은행보통주
A025610,한국저축은행보통주
A024100,제일저축은행보통주
A069470,제로원인터랙티브보통주
A111820,지와이커머스
A058850,케이티씨에스보통주
A058860,케이티스보통주
A030190,나이스평가정보
A060250,엔에이치엔한국사이버결제
A089230,더이앤엠
A039290,인포뱅크
A092130,이크레더블
A214180,민앤지
A066980,브레인콘텐츠
A207760,미스터블루
A038160,팍스넷
A042000,카페24
A053110,소리바다
A020120,키다리스튜디오보통주
A072130,유엔젤보통주
A127710,아시아경제
A030420,디패션
A035720,카카오보통주
A035420,NAVER보통주
A093320,케이아이엔엑스
A023590,다우기술보통주
A043610,지니뮤직
A052220,아이엠비씨
A033130,디지틀조선일보
A078000,텔코웨어 보통주
A046110,한일네트웍스
A143240,사람인에이치알
A136540,윈스
A041450,인네트
A035450,지아이바이오
A038540,상상인
A018260,삼성에스디에스보통주
A064800,필링크
A037110,제이에스
A030790,동양네트웍스보통주
A067010,이씨에스텔레콤
A139050,데일리블록체인
A033230,인성정보
A042500,링네트
A072770,네오디안테크놀로지
A045510,정원엔시스
A056850,코어비트
A012510,더존비즈온보통주
A208860,엔지스테크널러지
A020180,대신정보통신
A026180,현대정보기술
A049480,오픈베이스
A058690,퓨쳐인포넷
A012030,DB Inc.보통주
A054170,엔빅스
