time,closing
2010-01-04,1696.140015
2010-01-05,1690.619995
2010-01-06,1705.319946
2010-01-07,1683.449951
2010-01-08,1695.26001
2010-01-11,1694.119995
2010-01-12,1698.640015
2010-01-13,1671.410034
2010-01-14,1685.77002
2010-01-15,1701.800049
2010-01-18,1711.780029
2010-01-19,1710.219971
2010-01-20,1714.380005
2010-01-21,1722.01001
2010-01-22,1684.349976
2010-01-25,1670.199951
2010-01-26,1637.339966
2010-01-27,1625.47998
2010-01-28,1642.430054
2010-01-29,1602.430054
2010-02-01,1606.439941
2010-02-02,1595.810059
2010-02-03,1615.02002
2010-02-04,1616.420044
2010-02-05,1567.119995
2010-02-08,1552.790039
2010-02-09,1570.48999
2010-02-10,1570.119995
2010-02-11,1597.810059
2010-02-12,1593.660034
2010-02-16,1601.050049
2010-02-17,1627.430054
2010-02-18,1621.189941
2010-02-19,1593.900024
2010-02-22,1627.099976
2010-02-23,1628.900024
2010-02-24,1612.829956
2010-02-25,1587.51001
2010-02-26,1594.579956
2010-03-02,1615.119995
2010-03-03,1622.439941
2010-03-04,1618.199951
2010-03-05,1634.569946
2010-03-08,1660.040039
2010-03-09,1660.829956
2010-03-10,1662.23999
2010-03-11,1656.619995
2010-03-12,1662.73999
2010-03-15,1649.5
2010-03-16,1648.01001
2010-03-17,1682.859985
2010-03-18,1675.170044
2010-03-19,1686.109985
2010-03-22,1672.670044
2010-03-23,1681.819946
2010-03-24,1681.01001
2010-03-25,1688.390015
2010-03-26,1697.719971
2010-03-29,1691.98999
2010-03-30,1700.189941
2010-03-31,1692.849976
2010-04-01,1719.170044
2010-04-02,1723.48999
2010-04-05,1724.98999
2010-04-06,1726.089966
2010-04-07,1726.599976
2010-04-08,1733.780029
2010-04-09,1724.469971
2010-04-12,1710.300049
2010-04-13,1710.589966
2010-04-14,1735.329956
2010-04-15,1743.910034
2010-04-16,1734.48999
2010-04-19,1705.300049
2010-04-20,1718.030029
2010-04-21,1747.579956
2010-04-22,1739.52002
2010-04-23,1737.030029
2010-04-26,1752.199951
2010-04-27,1749.550049
2010-04-28,1733.910034
2010-04-29,1728.420044
2010-04-30,1741.560059
2010-05-03,1721.209961
2010-05-04,1718.75
2010-05-06,1684.709961
2010-05-07,1647.5
2010-05-10,1677.630005
2010-05-11,1670.23999
2010-05-12,1663.030029
2010-05-13,1694.579956
2010-05-14,1695.630005
2010-05-17,1651.51001
2010-05-18,1643.23999
2010-05-19,1630.079956
2010-05-20,1600.180054
2010-05-24,1604.930054
2010-05-25,1560.829956
2010-05-26,1582.119995
2010-05-27,1607.5
2010-05-28,1622.780029
2010-05-31,1641.25
2010-06-01,1630.400024
2010-06-03,1661.839966
2010-06-04,1664.130005
2010-06-07,1637.969971
2010-06-08,1651.47998
2010-06-09,1647.219971
2010-06-10,1651.699951
2010-06-11,1675.339966
2010-06-14,1690.599976
2010-06-15,1690.030029
2010-06-16,
2010-06-17,1707.920044
2010-06-18,1711.949951
2010-06-21,1739.680054
2010-06-22,1731.47998
2010-06-23,1725.819946
2010-06-24,1739.869995
2010-06-25,1729.839966
2010-06-28,1732.030029
2010-06-29,1707.76001
2010-06-30,1698.290039
2010-07-01,1686.23999
2010-07-02,1671.819946
2010-07-05,1675.369995
2010-07-06,1684.939941
2010-07-07,1675.650024
2010-07-08,1698.640015
2010-07-09,1723.01001
2010-07-12,1734.050049
2010-07-13,1735.079956
2010-07-14,1758.01001
2010-07-15,1751.290039
2010-07-16,1738.449951
2010-07-19,1731.949951
2010-07-20,1736.77002
2010-07-21,1748.780029
2010-07-22,1735.530029
2010-07-23,1758.060059
2010-07-26,1769.069946
2010-07-27,1768.310059
2010-07-28,1773.469971
2010-07-29,1770.880005
